ZHD,Woreda/ZHD/RHB,periodname,Denom - Estimated number of 0-2 months with sepsis/VSD,Denom - Estimated number of 12 - 24 months children,Denom - Estimated number of <15 year children 1,Denom - Estimated number of <5 year children,Denom - Estimated number of HIV positive pregnant women,Denom - Estimated number of Leprosy cases,Denom - Estimated number of Non-pregnant women aged 15-49 year,Denom - Estimated number of STI cases,Denom - Estimated number of adult population living with HIV ,Denom - Estimated number of adults  in the catchment area,Denom - Estimated number of adults age 15-24 within the catchment area,Denom - Estimated number of adults age 15-59 within the catchment area,Denom - Estimated number of all forms of TB cases in the population,Denom - Estimated number of child population living with HIV ,Denom - Estimated number of children  aged 24 - 59 months ,Denom - Estimated number of children aged 6-59 months,Denom - Estimated number of diabetic cases,Denom - Estimated number of girls (14 years old),Denom - Estimated number of girls (9 years old),Denom - Estimated number of hypertensive cases,Denom - Estimated number of live birth,Denom - Estimated number of neonates with birth asphyxia case,Denom - Estimated number of networked in 1 to 5 ,Denom - Estimated number of patients with CVD risk  ≥ 30%,Denom - Estimated number of people living with HIV ,Denom - Estimated number of people tested for HCT,Denom - Estimated number of pregnant women,Denom - Estimated number of surviving infants,Denom - Estimated number of under 2 yrs children,Denom - Estimated number of under 5 children with diarrhea cases,Denom - Estimated number of under 5 children with pneumonia,Denom - Estimated number of women age 30-49 within the catchment area,Denom - Expected number of deliveries,Denom - Total catchment population - female,Denom - Total catchment population - male,Denom - Total number of HHs in the catchment,Denom - Total number of Oncocerciasis MDA eligible population ,Denom - Total number of Rural HHs,Denom - Total number of Schistosomiasis MDA eligible population,Denom - Total number of Urban HHs,Denom - Total number of Urban kebele,Denom - Total number of catchment population,Denom - Total number of kebele,Denom - Total number of lymphatic filariasis MDA eligible population ,Denom - Total number of rural kebele,Denom - Total number of trachoma MDA eligible population 
Awi ZHD,Ankasha Guagusa,Ham 2014 to Sen 2015,215.9,1618.9,35947.4,11419.8,23,2.5,17057.1,1618.9,,50820.4,22777.1,45621.4,109.6,,7162.3,10859.9,50820.4,1037.1,5733.5,50820.4,2841.4,284.1,25596.8,,,,2841.4,2625.5,4257.9,11551.3,3118.8,9274.7,2841.4,42297,42018.8,19608.3,0,15549.2,119.4,4059.2,2,84315.8,18,0,16,411.8
North Shewa ZHD,Ankober WorHO,Ham 2010 to Sen 2011,239.1,1810.7,39788.9,12637.6,28.3,5.6,18881.7,1792,,53543,19314.8,47996.8,153.1,,7924.2,12021.6,,1148,,,3089.4,30.8,,,,,3145.4,2902.7,4713.4,12637.6,3412.2,10655.2,3145.4,47601,45734,21705.9,80697.7,18232.9,27067.2,3472.9,3.7,93335.3,27.4,80268.4,23.7,93335.3
North Shewa ZHD,Ankober WorHO,Ham 2011 to Sen 2012,243,2906,40427,12843,29,6,19183,1821,,54396,19623,48762,156,,8055,12213,,1166,,,3196,320,,,,,3196,2953,4788,12843,3468,10825,3196,48360,46464,22052,81984.8,18232.9,27499,3472.9,3.7,94824,27.4,80268.4,23.7,94824
North Shewa ZHD,Ankober WorHO,Ham 2012 to Sen 2013,241.9,1828.8,40273.5,12794.1,28.7,3,19109.8,1813.7,,,19548.2,48576.7,142.6,,8024.3,12166.8,3022.8,1165.7,,8670.3,3183.4,4.5,21968.1,,,,3183.4,2941.6,4769.8,12794.1,3454.4,18136.9,3183.4,,,21968.1,81672.6,18453.2,27394.2,3514.9,3.7,94462.9,27.4,81672.6,23.7,94462.9
North Shewa ZHD,Ankober WorHO,Ham 2013 to Sen 2014,244.8,1853.9,40738.9,12943.2,23.5,3.1,19332.6,1834.8,804.6,61332.1,19656.7,52204,133.8,49.1,8117.8,12308.6,2085.3,1175.4,,9567.8,3220.5,133.8,21968.1,,,,3220.5,2975.9,4826,12943.2,3494.7,10512,3220.5,46072.9,49491.1,22224.2,0,19325.6,27713.6,2898.6,3,95564,22,0,19,95564
North Shewa ZHD,Ankober WorHO,Ham 2014 to Sen 2015,247.6,1856.5,41223.9,13096,26.4,2.9,19560.8,1856.5,,58280,19548.2,52317.9,125.7,,8213.6,12453.9,58280,1189.3,6575.1,58280,3258.5,325.9,21968.1,,,,3258.5,3010.9,4882.9,13246.8,3576.6,10636.1,3258.5,48505.5,48186.5,22486.5,0,19553.7,117.1,2932.8,3,96692,22,0,19,403.9
North Shewa ZHD,Antsokia Gemza WorHO,Ham 2010 to Sen 2011,252,1240.8,41892,13308,31,6,19878,1887,,56367,20334,50529,161,,8347,12656,,786.7,,,3311,331,,,,,3311,3060,4961,13308,3593,11217,3311,50112,48147,22851,55300.7,12494.7,18548.7,2379.9,1.2,98259,15,55006.5,13.7,63961
North Shewa ZHD,Antsokia Gemza WorHO,Ham 2011 to Sen 2012,256,3060,42560,13520,31,6,20195,1917,,57266,20658,51334,164,,8480,12858,,1228,,,3364,336,,,,,3364,3108,5041,13520,3651,11396,3364,50911,48914,23215,86308.7,12494.7,28949.3,2379.9,1.2,99825,15,55006.5,13.7,99825
North Shewa ZHD,Antsokia Gemza WorHO,Ham 2012 to Sen 2013,168.1,1270.8,27984.2,8890,19.9,2.1,13278.6,1260.2,,,13583.2,33753.7,99.1,,5575.7,8454.2,2100.4,810,,6024.6,2212,3.1,15264.6,,,,2212,2044,3314.3,8890,2400.3,12602.5,2212,,,15264.6,56750.6,12822.3,19035,2442.3,1.2,65637.9,15,56750.6,13.7,65637.9
North Shewa ZHD,Antsokia Gemza WorHO,Ham 2013 to Sen 2014,170.8,1293.5,28422.7,9030.2,16.4,2.1,13488,1280.1,561.4,40994.1,13914.4,36028.5,93.3,36.8,5663.6,8587.5,1393.8,820.1,,6395.1,2246.9,93.3,15264.6,,,,2246.9,2076.2,3367,9030.2,2438.2,7334,2246.9,32598.5,34074.6,15505.4,0,12041.5,19335.2,3463.9,1,66673.1,12,0,11,66673.1
North Shewa ZHD,Antsokia Gemza WorHO,Ham 2014 to Sen 2015,173.4,1299.9,28863.8,9169.5,18.5,2,13695.9,1299.9,,40806.1,13583.2,36631.6,88,,5751,8719.9,40806.1,832.7,4603.7,40806.1,2281.5,228.2,15264.6,,,,2281.5,2108.1,3418.9,9275,2504.3,7447.1,2281.5,33962.2,33738.8,15744.4,0,12227.1,57.2,3517.3,1,67701.1,12,0,11,197.3
South Wollo ZHD,Argoba WorHO,Ham 2010 to Sen 2011,107.4,813.5,17876.5,5677.9,12.7,2.5,8483.2,805.1,,24056,8677.8,21564.1,68.8,,3560.2,5401.1,,515.8,,,1388,13.8,,,,,1413.2,1304.1,2117.7,5677.9,1533,4787.2,1413.2,21386,20548,9752.1,36256.1,8191.8,12160.9,1560.3,1.2,41934,11.2,36063.2,10,41934
South Wollo ZHD,Argoba WorHO,Ham 2011 to Sen 2012,109,1306,18163,5770,12.9,3,8619,818,,24439,8816,21908,70,,3619,5487,,524,,,1436,14.1,,,,,1436,1325,2151,5770,1558,4864,1436,21728,20875,9908,36834.6,8191.8,12354.9,1560.3,1.2,42603,11.2,36063.2,10,42603
South Wollo ZHD,Argoba WorHO,Ham 2012 to Sen 2013,105.6,798,17572.7,5582.5,12.5,1.3,8338.3,791.4,,,8529.5,21195.6,62.2,,3501.3,5308.8,1319,508.6,,3783.1,1389,1.9,9585.4,,,,1389,1283.5,2081.2,5582.5,1507.3,7913.7,1389,,,9585.4,35636.5,8051.8,11953,1533.7,1.2,41217.3,11.2,35636.5,10,41217.3
South Wollo ZHD,Argoba WorHO,Ham 2013 to Sen 2014,106.2,804.4,17675.3,5615.6,10.2,1.3,8387.8,796.1,349.1,22725.8,8449.3,19782.8,58,26.9,3522.1,5340.3,772.7,510,,3545.2,1397.3,58,9585.4,,,,1397.3,1291.1,2093.8,5615.6,1516.2,4560.8,1397.3,20046.9,21415.3,9642.4,34828.2,9642.4,12024,0,1,41462.1,9,0,8,41462.1
South Wollo ZHD,Argoba WorHO,Ham 2014 to Sen 2015,106.9,801.4,17796.1,5653.5,11.4,1.3,8444.3,801.4,,25159.1,8529.5,22585.3,54.3,,3545.8,5376.3,25159.1,513.4,2838.4,25159.1,1406.7,140.7,9585.4,,,,1406.7,1299.8,2107.9,5718.6,1544,4591.5,1406.7,20939.5,20801.8,9707.3,63.5,9707.3,21.9,0,1,41741.3,9,0,8,75.7
Oromia Special ZHD,Artuma Fursi WorHO,Ham 2010 to Sen 2011,265.4,2010.1,44169.4,14028.9,31.4,6.2,20960.5,1989.3,,59437,21441.3,53280.9,169.9,,8796.6,13345.1,,1274.4,,,3429.5,34.2,,,,,3491.7,3222.3,5232.4,14028.9,3787.8,11828.2,3491.7,52842,50769,24095.6,89582.1,20240.3,30047.2,3855.3,3.7,103611,33.7,89105.5,29.9,103611
Oromia Special ZHD,Artuma Fursi WorHO,Ham 2011 to Sen 2012,270,3226,44878,14257,31.9,6,21295,2021,,60385,21783,54130,173,,8942,13558,,1295,,,3547,34.8,,,,,3547,3273.7,5315,14257,3849,12017,3547,53684,51579,24480,91010.4,20240.3,30526.3,3855.3,3.7,105263,33.6,89105.5,29.9,105263
Oromia Special ZHD,Artuma Fursi WorHO,Ham 2012 to Sen 2013,257.4,1945.3,42840,13609.4,30.5,3.2,20327.7,1929.3,,,20794,51672.4,151.7,,8535.6,12942.2,3215.5,1240,,9222.8,3386.3,4.7,23368.1,,,,3386.3,3129,5073.8,13609.4,3674.5,19292.7,3386.3,,,23368.1,86877.5,19629.2,29140,3738.9,3.7,100482.8,33.7,86877.5,29.9,100482.8
Oromia Special ZHD,Artuma Fursi WorHO,Ham 2013 to Sen 2014,260,1969.1,43269.9,13747.3,25,3.2,20533.7,1948.8,854.6,56953.5,20108.4,51168.8,142.1,63.9,8622.1,13073.3,1936.4,1248.5,,8884.7,3420.6,142.1,23368.1,,,,3420.6,3160.7,5125.8,13747.3,3711.8,11165.1,3420.6,51627.7,49873.4,23604.9,0,21343.1,29435.3,2261.8,3,101501.1,27,0,24,101501.1
Oromia Special ZHD,Artuma Fursi WorHO,Ham 2014 to Sen 2015,262.7,1969.2,43726.7,13891.1,28,3.1,20748.4,1969.2,,61818.5,20794,55494.4,133.3,,8712.3,13210.1,61818.5,1261.5,6974.3,61818.5,3456.4,345.6,23368.1,,,,3456.4,3193.7,5179.4,14051.1,3793.8,11281.9,3456.4,51450.5,51112.1,23851.8,0,21566.3,132,2285.5,3,102562.6,27,0,24,455.1
North Shewa ZHD,Asagirt WorHO,Ham 2010 to Sen 2011,147.6,1118.3,24573.2,7804.9,17.5,3.5,11661.2,1106.7,,33068,11928.6,29642.3,94.5,,4893.9,7424.4,,709,,,1908,19,,,,,1942.6,1792.7,2911,7804.9,2107.3,6580.5,1942.6,29398,28245,13405.3,49838.1,11260.5,16716.5,2144.9,1.2,57643,18.7,49573,17.5,57643
North Shewa ZHD,Asagirt WorHO,Ham 2011 to Sen 2012,150,1795,24968,7932,18,4,11847,1124,,33595,12119,30115,96,,4975,7543,,720,,,1974,197,,,,,1974,1824,2957,7932,2142,6686,1974,29867,28695,13619,50632.7,11260.5,16983,2144.9,1.2,58562,18.7,49573,17.4,58562
North Shewa ZHD,Asagirt WorHO,Ham 2012 to Sen 2013,146.8,1109.7,24438.1,7763.5,17.4,1.8,11595.9,1100.6,,,11861.9,29476.5,86.6,,4869.2,7382.9,1834.3,707.3,,5261.2,1931.7,2.7,13330.3,,,,1931.7,1785,2894.3,7763.5,2096.1,11005.5,1931.7,,,13330.3,49559.2,11197.5,16622.9,2132.9,1.2,57320.4,18.7,49559.2,17.5,57320.4
North Shewa ZHD,Asagirt WorHO,Ham 2013 to Sen 2014,148,1121.2,24637.5,7827.6,14.2,1.8,11691.7,1109.6,486.6,34287,11803.8,29731.3,80.9,33.7,4909.4,7443.8,1165.8,710.9,,5348.8,1947.7,80.9,13330.3,,,,1947.7,1799.7,2918.6,7827.6,2113.4,6357.3,1947.7,27031.2,30762.5,13440.4,0,12727.2,16760.2,713.2,1,57793.8,15,0,14,57793.8
North Shewa ZHD,Asagirt WorHO,Ham 2014 to Sen 2015,149.3,1119.4,24856.7,7896.5,15.9,1.7,11794.5,1119.4,,35141,11861.9,31546,75.8,,4952.6,7509.3,35141,717.1,3964.5,35141,1964.8,196.5,13330.3,,,,1964.8,1815.5,2944.3,7987.4,2156.6,6413.2,1964.8,29247.2,29054.9,13558.6,0,12839.2,42.7,719.5,1,58302.1,15,0,14,147.3
East Gojjam ZHD,Awabel WorHO,Ham 2010 to Sen 2011,380.8,2884.7,63388.3,20133.2,45.1,8.9,30080.8,2854.9,,85299,30770.7,76464.4,243.9,,12624.1,19151.8,,1828.9,,,4921.8,49.1,,,,,5011,4624.4,7509,20133.2,5436,16974.9,5011,75834,72860,34580,128560.8,29047.2,43121.3,5532.8,3.7,148694,38.6,127876.8,34.9,148694
East Gojjam ZHD,Awabel WorHO,Ham 2011 to Sen 2012,387,4630,64405,20460,45.8,9,30560,2900,,86660,31261,77684,248,,12832,19457,,1858,,,5091,49.9,,,,,5091,4698.1,7628,20460,5524,17246,5091,77043,74022,35131,130610.8,29047.2,43808.9,5532.8,3.7,151065,38.6,127876.8,34.9,151065
East Gojjam ZHD,Awabel WorHO,Ham 2012 to Sen 2013,390.5,2951.6,64998.4,20648.7,46.2,4.9,30841.9,2927.2,,,31549.4,78399.2,213.4,,12950.6,19636.3,4878.6,1881.3,,13993.2,5137.8,256.9,7091,,,,5137.8,4747.5,7698.1,20648.7,5575.1,14330.9,5137.8,,,35454.9,131813.5,29782.1,44212.3,5672.8,3.7,152456.1,38.6,131813.5,34.9,152456.1
East Gojjam ZHD,Awabel WorHO,Ham 2013 to Sen 2014,396,2999.5,65911.1,20940.6,38,4.9,31278,2968.5,1301.8,94989.2,38293,84891.9,216.5,85.5,13133.7,19914,3229.6,1901.7,,14818.3,5210.4,216.5,35454.9,,,,5210.4,4814.6,7807.9,20940.6,5654,17007.3,5210.4,77605.2,77006.8,35956.3,0,29245.1,44837.5,6711.2,3,154611.9,31,0,28,154611.9
East Gojjam ZHD,Awabel WorHO,Ham 2014 to Sen 2015,401.5,3010.1,66839.7,21233.7,42.8,4.7,31715.5,3010.1,,94494.3,31549.4,84827.5,203.8,,13317.4,20192.6,94494.3,1928.3,10660.7,94494.3,5283.3,528.3,35454.9,,,,5283.3,4881.8,7917.1,21478.1,5799.1,17245.2,5283.3,18676.8,78128.8,36459.3,0,29654.2,307.3,6805.1,3,156774.8,31,0,28,1059.5
Awi ZHD,Awi ZHD,Ham 2010 to Sen 2011,3291.8,24933.7,547898.6,174021.8,389.8,77.1,260004.4,24676.6,,598556,265968,660922.8,2107.8,,109117,165539.2,,15808.5,,,42541.5,424.5,,,,,43312.7,39971,64904.7,174021.8,46985.9,146723.2,43312.7,655473,629769,298893.5,1111220.1,251070.5,372720.1,47823,42.4,1285241.9,290.5,1105308,248.1,1285241.9
Awi ZHD,Awi ZHD,Ham 2011 to Sen 2012,3344,32490,556689,176849,396,78,264150,25070,,749045,270210,671462,2141,,110917,168179,,16061,,,44003,431.2,,,,,44003,40608.3,65932,176849,47749,149066,44003,665924,639810,303659,1128937.6,251070.5,378662.9,47823,42.4,1305734,290.3,1105308,247.9,1305734
Awi ZHD,Awi ZHD,Ham 2012 to Sen 2013,3387.7,25607.3,563918.9,179146,401.2,42.3,267580.6,25395.7,,,273718.7,680182.5,1997.3,,112357.8,170362.7,42326.1,16322.2,,121403.7,44574.7,2228.7,61520.6,,,,44574.7,41188.6,66788.2,179145.4,48369.3,124333,44574.7,,,307602.8,1143599.4,258386.3,383580.6,49216.4,34,1322691.8,233,1143599.4,199,1322691.8
Awi ZHD,Awi ZHD,Ham 2013 to Sen 2014,3438,26041.1,572232.7,181804.4,330.2,43,271552.2,25772.6,11302.4,776967.8,301322.9,715142.4,1879.3,810.7,114025.5,172891.3,26416.9,16510.6,,121207,45236.3,1879.3,307602.8,,,,45236.3,41800,67787.4,181804.4,49087.2,147655.6,45236.3,684590.2,657733.9,312168.4,42449.6,248957.7,389274,63210.7,34,1342324.1,233,218162,199,1342324.1
Awi ZHD,Awi ZHD,Ham 2014 to Sen 2015,3488.2,26149,580647.3,184460.3,371.8,40.9,275518.1,26149,,820887.5,273718.7,736910.1,1770.5,,115690.8,175416.4,820887.5,16751.7,92611.1,820887.5,45897,4589.7,307602.8,,,,45897,42408.8,68777.4,186584.2,50377.7,149812.1,45897,683210.9,678717.6,316727.6,2527.1,252593.7,23174.5,64133.9,34,1361928.5,233,12987.8,199,79912.1
Awi ZHD,Ayehu Guagusa,Ham 2010 to Sen 2011,348,2635.8,57919.2,18396.1,41.2,8.2,27485.5,2608.6,,,28115.9,69867.1,222.8,,11534.9,17499.4,,1671.1,,,4497.1,44.9,,,,,4578.6,4225.4,6861.2,18396.1,4966.9,15510.3,4578.6,,,31596.5,117468.7,26541,39400.8,5055.4,2.5,135864.8,24.9,116843.8,22.4,135864.8
Awi ZHD,Ayehu Guagusa,Ham 2011 to Sen 2012,348,0,57870,18384,41.2,8,27459,2606,,77866,28089,69801,223,,11530,17483,,1670,,,4574,44.8,,,,,4574,4221.4,6854,18384,4964,15496,4574,69225,66511,31567,117357.3,26541,39363.4,5055.4,2.5,135736,24.9,116843.8,22.4,135736
Awi ZHD,Ayehu Guagusa,Ham 2012 to Sen 2013,346.3,2617.6,57645.1,18312.7,41,4.3,27352.7,2596,,,27980.2,69529.9,204.2,,11485.5,17414.9,4326.7,1668.5,,12410.2,4556.5,227.8,6288.8,,,,4556.5,4210.4,6827.3,18312.7,4944.4,12709.6,4556.5,,,31443.9,116901.4,26412.9,39210.5,5031,2.5,135208.7,24.9,116901.4,22.4,135208.7
Awi ZHD,Ayehu Guagusa,Ham 2013 to Sen 2014,349.6,2648.3,58194.4,18489,33.6,4.4,27616,2621,1149.4,76761.9,27631.7,70984.7,191.1,85.7,11596,17582.5,2609.9,1679.1,,11974.9,4600.4,191.1,31443.9,,,,4600.4,4250.9,6893.8,18489,4992,15016.1,4600.4,70385.3,66125,31746.6,0,29070.8,39588,2675.8,2,136510.3,20,0,18,136510.3
Awi ZHD,Ayehu Guagusa,Ham 2014 to Sen 2015,353.1,2647.2,58782.7,18674.1,37.6,4.1,27892.5,2647.2,,83103.7,27980.2,74602.1,179.2,,11712.1,17758.5,83103.7,1695.9,9375.6,83103.7,4646.4,464.6,31443.9,,,,4646.4,4293.3,6962.8,18889.1,5100.1,15166.4,4646.4,69165.8,68711,32064.4,0,29361.8,238.6,2702.6,2,137876.8,20,0,18,822.7
North Gojjam ZHD,Bahir Dar Zuria WorHO,Ham 2010 to Sen 2011,592.7,4489.7,98656.9,31335.1,70.2,13.9,46817.5,4443.4,,132759,47891.3,119008.5,379.5,,19648.1,29807.7,,2846.5,,,7660.2,76.4,,,,,7799.1,7197.3,11687,31335.1,8460.5,26419.6,7799.1,118027,113399,53820,200090.9,45208.8,67113.5,8611.2,0,231426,44.9,199026.4,44.9,231426
North Gojjam ZHD,Bahir Dar Zuria WorHO,Ham 2011 to Sen 2012,602,7206,100240,31844,71.3,14,47564,4514,,134876,48655,120906,386,,19972,30283,,2892,,,7923,77.6,,,,,7923,7312.1,11872,31844,8598,26841,7923,119909,115207,54678,203281.3,45208.8,68183.6,8611.2,0,235116,44.9,199026.4,44.9,235116
North Gojjam ZHD,Bahir Dar Zuria WorHO,Ham 2012 to Sen 2013,582.6,4403.8,96979.8,30808.6,69,7.3,46017.1,4367.4,,,47072.7,116974.3,343.5,,19322.7,29298.1,7279,2807,,20878.4,7665.7,10.7,52899.9,,,,7665.7,7083.4,11485.9,30808.5,8318.3,43674.2,7665.7,,,52899.9,196670.3,44435.9,65966.2,8464,0,227469.7,44.9,196670.3,44.9,227469.7
North Gojjam ZHD,Bahir Dar Zuria WorHO,Ham 2013 to Sen 2014,586.1,4439.1,97546.4,30991.5,56.3,7.3,46290.5,4393.4,1926.7,130687.2,48325.9,120711.2,320.3,140.7,19437.5,29472.1,4443.4,2814.5,,20387.2,7711.3,320.3,52899.9,,,,7711.3,7125.5,11555.5,30991.5,8367.7,25170.3,7711.3,111301.6,117519.4,53214.2,0,53214.2,66358.1,0,0,228820.9,36,0,36,228820.9
North Gojjam ZHD,Bahir Dar Zuria WorHO,Ham 2014 to Sen 2015,590,4422.9,98212.8,31200.3,62.9,6.9,46602.2,4422.9,,138848,47072.7,124643.7,299.5,,19568.4,29670.6,138848,2833.4,15664.6,138848,7763.2,776.3,52899.9,,,,7763.2,7173.2,11633.3,31559.5,8521.1,25339.8,7763.2,115560.8,114800.8,53572.5,0,53572.5,668.2,0,0,230361.7,36,0,36,2304.1
Bahirdar THO,Bahirdar THO,Ham 2010 to Sen 2011,818,6193.1,136102,43237,100,19,64581,6129,,183131,66062,164163,524,,27118,41117,,3926.6,,,10758,1076,,,,,10758,9941,16119,43237,11674,36444,10758,162809,156424,74240,276008.9,62361.8,92577.6,11878.4,32.4,319233,49.9,274540.4,17.5,319233
Bahirdar THO,Bahirdar THO,Ham 2011 to Sen 2012,831,9941,138272,43926,100,19,65611,6227,,186050,67116,166780,532,,27550,41773,,3989,,,10930,1093,,,,,10930,10099,16376,43926,11860,37026,10930,165405,158918,75424,280409.7,62361.8,94053.7,11878.4,32.4,324323,49.8,274540.4,17.4,324323
Bahirdar THO,Bahirdar THO,Ham 2012 to Sen 2013,996.8,7534.5,165922.6,52710.4,118,12.5,78730.6,7472.2,,,80536.6,200131,544.8,,33059.2,50126.1,12453.7,4802.5,,35720.8,13115.3,18.4,18101.3,,,,13115.3,12119,19651.2,52710.2,14231.8,36582.7,13115.3,,,90506.4,336482.8,76025.4,112861.5,14481,29.5,389177.5,49.9,336482.8,20.4,389177.5
Bahirdar THO,Bahirdar THO,Ham 2013 to Sen 2014,1041,7884.8,173262.6,55047.3,100,13,82221.5,7803.5,3422.2,293416,115180.7,276267.3,569,162.1,34525,52348.6,9976.1,4999.1,,45772.9,13696.8,569,90506.4,,,,13696.8,12656.3,20524.9,55047.3,14862.8,44707.7,13696.8,214392.6,192040.8,94519.4,0,14295.3,117865.7,80224.1,26,406433.4,40,0,14,406433.4
Bahirdar THO,Bahirdar THO,Ham 2014 to Sen 2015,1082.3,8113.5,180163.7,57234.5,115.4,12.7,85488,8113.5,,254705.6,80536.6,228649,549.4,,35896.6,54428.3,254705.6,5197.7,28735.5,254705.6,14241,1424.1,90506.4,,,,14241,13158.6,21340.3,57893.5,15631.2,46483.8,14241,211987.2,210593,98274.5,0,14863.2,2177.2,83411.2,26,422580.2,40,0,14,7507.6
Awi ZHD,Banja,Ham 2010 to Sen 2011,260.7,1974.5,43387.7,13780.7,30.9,6.1,20589.6,1954.1,,58385,21061.8,52338,166.9,,8640.9,13108.9,,1251.9,,,3368.8,33.6,,,,,3429.9,3165.3,5139.8,13780.7,3720.8,11618.9,3429.9,51906,49871,23669.2,87996.8,19882.1,29515.5,3787.1,2.5,101777.5,33.7,87528.6,31.2,101777.5
Awi ZHD,Banja,Ham 2011 to Sen 2012,265,3169,44084,14005,31.4,6,20918,1985,,59316,21398,53173,170,,8783,13318,,1272,,,3485,34.1,,,,,3485,3215.7,5221,14005,3781,11804,3485,52734,50666,24047,89399.6,19882.1,29986,3787.1,2.5,103400,33.6,87528.6,31.1,103400
Awi ZHD,Banja,Ham 2012 to Sen 2013,258.3,1952.2,42990.5,13657.2,30.6,3.2,20399.1,1936,,,20867,51853.8,152.3,,8565.6,12987.6,3226.7,1244.3,,9255.2,3398.2,4.8,23450.2,,,,3398.2,3140,5091.6,13657.2,3687.4,19360.4,3398.2,,,23450.2,87182.5,19698.1,29242.3,3752,2.5,100835.7,33.7,87182.5,31.2,100835.7
Awi ZHD,Banja,Ham 2013 to Sen 2014,225.5,1708.1,37534.6,11925.1,21.7,2.8,17812,1690.5,741.4,49366.6,17091.2,43602.6,123.3,55.5,7479.3,11340.5,1678.5,1083,,7701.2,2967.2,123.3,23450.2,,,,2967.2,2741.8,4446.4,11925.1,3219.8,9685.2,2967.2,44776.4,43271,20476.1,0,19629.8,25533.7,846.3,2,88047.4,27,0,25,88047.4
Awi ZHD,Banja,Ham 2014 to Sen 2015,227.4,1704.6,37851.4,12024.6,24.2,2.7,17960.5,1704.6,,53512.2,20867,48037.9,115.4,,7541.7,11435.1,53512.2,1092,6037.2,53512.2,2991.9,299.2,23450.2,,,,2991.9,2764.6,4483.5,12163.1,3284,9766,2991.9,44537.3,44244.4,20646.9,0,19793.6,99.1,853.4,2,88781.7,27,0,25,341.7
East Gojjam ZHD,Baso Liben WorHO,Ham 2010 to Sen 2011,440.3,3334.9,73282.2,23275.7,52.1,10.3,34776,3300.5,,98613,35573.6,88399.4,281.9,,14594.6,22141.1,,2114.4,,,5690,56.8,,,,,5793.1,5346.2,8681.1,23275.7,6284.4,19624.4,5793.1,87671,84232,39977.4,148627.3,33581.1,49851.9,6396.4,5,171903,32.4,147836.6,27.4,171903
East Gojjam ZHD,Baso Liben WorHO,Ham 2011 to Sen 2012,447,5353,74458,23654,53,10,35330,3353,,100186,36141,89809,286,,14835,22494,,2148,,,5885,57.7,,,,,5885,5431.4,8818,23654,6387,19938,5885,89068,85576,40615,150997.2,33581.1,50646.8,6396.4,5,174644,32.4,147836.6,27.4,174644
East Gojjam ZHD,Baso Liben WorHO,Ham 2012 to Sen 2013,441.1,3334,73421.5,23324.6,52.2,5.5,34838.7,3306.5,,,35637.8,88558.9,241.1,,14628.8,22181,5510.8,2125.1,,15806.6,5803.6,290.2,8009.9,,,,5803.6,5362.7,8695.7,23324.5,6297.6,16188,5803.6,,,40049.5,148895.2,33641.6,49941.7,6407.9,5,172212.8,32.4,148895.2,27.4,172212.8
East Gojjam ZHD,Baso Liben WorHO,Ham 2013 to Sen 2014,445.3,3373.3,74125.3,23550.4,42.8,5.6,35176,3338.5,1464.1,102395.1,39044,93645.1,243.4,102.5,14770.5,22395.8,3481.4,2138.7,,15973.6,5859.8,243.4,40049.5,,,,5859.8,5414.6,8781,23550.4,6358.6,19126.9,5859.8,91456.5,82424.1,40437.3,0,36976.3,50425.4,3461.1,4,173880.6,26,0,22,173880.6
East Gojjam ZHD,Baso Liben WorHO,Ham 2014 to Sen 2015,449.8,3372.1,74878.4,23787.4,47.9,5.3,35529.9,3372.1,,105859,35637.8,95029.6,228.3,,14919.1,22621.1,105859,2160.2,11942.8,105859,5918.7,591.9,40049.5,,,,5918.7,5468.9,8869.3,24061.3,6496.6,19319.3,5918.7,18084,87525.2,40844.2,0,37348.3,387.1,3495.9,4,175629.9,26,0,22,1334.9
North Shewa ZHD,Basona Werana WorHO,Ham 2010 to Sen 2011,366.3,2774.2,60961.3,19362.3,43.4,8.6,28929.1,2745.6,,82034,29592.6,73536.8,234.5,,12140.8,18418.5,,1758.9,,,4733.3,47.2,,,,,4819.1,4447.3,7221.6,19362.3,5227.8,16325,4819.1,72931,70070,33256,123638.7,27935.1,41470.3,5321,2.5,143001,39.9,122980.9,37.4,143001
North Shewa ZHD,Basona Werana WorHO,Ham 2011 to Sen 2012,372,4453,61939,19677,45,9,29390,2789,,83342,30065,74709,238,,12341,18712,,1787,,,4896,490,,,,,4896,4524,7336,19677,5313,16586,4896,74093,71188,33786,125610,27935.1,42131.5,5321,2.5,145281,39.9,122980.9,37.4,145281
North Shewa ZHD,Basona Werana WorHO,Ham 2012 to Sen 2013,360,2721.2,59925.4,19037.1,42.6,4.5,28434.7,2698.7,,,29087,72280.2,212.2,,11939.8,18103.8,4497.8,1734.5,,12901.1,4736.8,6.6,32687.7,,,,4736.8,4376.9,7097.3,19037.1,5140,26987,4736.8,,,32687.7,121525.7,27457.7,40761.6,5230,2.5,140557.1,39.9,121525.7,37.4,140557.1
